GENEA   N_A     GENEB   N_B     N_CO_OCCUR      N_CO_OCCUR_NORM SWAP_GENEA      SWAP_N_A        SWAP_GENEB      SWAP_N_B        SWAP_N_CO_OCCUR SWAP_N_CO_OCCUR_NORM
SLC46A1	19	SMIM23	2	173.136	0.7555812	SMIM23	11	SLC46A1	2	67.43061	0.4203904
SLC25A2	18	KRTAP19-8	2	158.3561	0.8391688	KRTAP19-8	12	SLC25A2	2	78.81654	0.4422375
LEKR1	28	UGT1A5	3	53.08227	0.7363344	UGT1A5	34	LEKR1	3	80.56015	0.7156996
RAB6B	24	FAM76A	2	251.7873	0.8633603	FAM76A	11	RAB6B	2	67.43061	0.6305855
GPR31	25	KRTAP4-11	2	268.3026	0.7109016	KRTAP4-11	7	GPR31	2	28.93908	0.2255227
FAM131C	10	TWIST2	2	56.696	0.1944065	TWIST2	10	FAM131C	2	56.696	0.1944065
STAR	11	TXNDC8	2	67.43061	0.7672124	TXNDC8	28	STAR	2	319.0581	0.8453846
C11orf53	18	TIMM17A	2	158.3561	0.8885317	TIMM17A	15	C11orf53	2	116.4206	0.6713782
TTN	2425	DST	99	3.557393	0.9847147	DST	733	TTN	99	0.06788615	0.06788615
MBLAC2	20	SIAH1	2	188.2669	0.3521201	SIAH1	6	MBLAC2	2	21.3734	0.1365819
AP1S3	13	FAHD1	2	90.80593	0.8067235	FAHD1	21	AP1S3	2	203.7218	0.9525644
FCGR2B	31	TEF	3	66.22073	0.6399135	TEF	28	FCGR2B	3	53.08227	0.7032408
C5orf30	40	PPP1R15B	4	28.41241	0.4384084	PPP1R15B	53	C5orf30	4	56.31652	0.8426413
STXBP3	44	RTN4RL1	5	11.32532	0.3442078	RTN4RL1	87	STXBP3	5	66.77006	0.9886465
LHX6	33	UFM1	2	406.7168	0.8874742	UFM1	9	LHX6	2	46.6644	0.4654803
F11R	25	DNAJB4	2	268.3026	0.4181774	DNAJB4	5	F11R	2	14.76972	0.1427249
PNPLA3	49	MDH1	2	697.7291	0.9787347	MDH1	6	PNPLA3	2	21.3734	0.349783
ADAM2	30	CDC27	3	61.70308	0.605875	CDC27	30	ADAM2	3	61.70308	0.7212798
STX6	23	ANAPC15	2	235.5047	0.8442344	ANAPC15	13	STX6	2	90.80593	0.6085809
KRTAP19-7	17	MARCH4	3	16.69645	0.2446175	MARCH4	50	KRTAP19-7	3	173.5506	0.8655893
C17orf80	27	LYZL2	3	48.98621	0.6337056	LYZL2	26	C17orf80	3	45.03776	0.4352153
NPIPB11	19	RNF185	2	173.136	0.7285962	RNF185	13	NPIPB11	2	90.80593	0.7501113
ZNF816	41	OR6M1	3	118.1619	0.5525026	OR6M1	17	ZNF816	3	16.69645	0.2394129
HAUS3	19	SERPINA12	3	21.81774	0.2788427	SERPINA12	40	HAUS3	3	112.4654	0.5959827
LY6G6E	7	LAPTM4B	2	28.93908	0.3743678	LAPTM4B	30	LY6G6E	2	353.7349	0.9372651
