tissue	percent_allgenes_expressed	percent_MESgenes_expressed	difference	p_val	mean_allgene_expression_sim	sd_allgene_expression_sim
adiposetissue	0.68272	0.742268	0.05954807	0.08655512	0.672712	0.05105865
adrenalgland	0.6746851	0.7835052	0.1088201	0.009919734	0.6753842	0.0464164
amygdala	0.6969272	0.7216495	0.02472226	0.3461085	0.7043313	0.04374945
appendix	0.6666005	0.6391753	-0.02742528	0.7507615	0.6705244	0.04631367
basalganglia	0.7122392	0.7731959	0.0609567	0.09842514	0.713908	0.04593906
bonemarrow	0.6006349	0.556701	-0.04393383	0.8615104	0.6115264	0.05043128
breast	0.7047912	0.7319588	0.02716757	0.2873916	0.7057925	0.04664047
cerebellum	0.6707672	0.7319588	0.06119161	0.1133863	0.6716661	0.04988167
cerebralcortex	0.705188	0.7938144	0.08862646	0.02968994	0.7103577	0.04426545
cervix	0.7113878	0.7113402	-4.755297e-05	0.4898065	0.7101662	0.04594147
choroidplexus	0.6458685	0.6701031	0.02423463	0.3050347	0.6445845	0.05003902
colon	0.7143141	0.742268	0.02795399	0.3321082	0.7212409	0.04843863
duodenum	0.6634758	0.6391753	-0.02430059	0.7310335	0.6691461	0.04865862
endometrium	0.6768674	0.6907216	0.01385428	0.450875	0.6850379	0.04604076
epididymis	0.6398175	0.6185567	-0.02126078	0.6518114	0.6373248	0.04809689
esophagus	0.688771	0.6907216	0.001950694	0.479217	0.6881317	0.04969314
fallopiantube	0.7013689	0.742268	0.04089913	0.1462128	0.694821	0.04506685
gallbladder	0.6701716	0.6907216	0.02055004	0.2943549	0.6648864	0.04778056
heartmuscle	0.6741891	0.742268	0.06807897	0.08616355	0.6798254	0.04575344
hippocampalformation	0.7020139	0.7319588	0.02994485	0.2738111	0.706392	0.04251732
hypothalamus	0.7096958	0.7525773	0.04288148	0.2218993	0.7168617	0.04663861
kidney	0.7002778	0.7628866	0.06260885	0.1263354	0.7088639	0.04722735
liver	0.6654102	0.6701031	0.004692915	0.4853373	0.6684199	0.04578456
lung	0.7053864	0.7319588	0.02657239	0.2628431	0.7045134	0.04324804
lymphnode	0.6424958	0.6185567	-0.02393908	0.7014429	0.6450821	0.05018465
midbrain	0.6938648	0.7731959	0.07933104	0.0534488	0.6964417	0.04760553
ovary	0.6609463	0.6804124	0.01946604	0.3324123	0.6593772	0.04855064
pancreas	0.6765202	0.7113402	0.03482002	0.2291885	0.6736909	0.05077302
parathyroidgland	0.6114473	0.5979381	-0.01350913	0.5188275	0.600323	0.0505139
pituitarygland	0.7080349	0.7113402	0.003305326	0.4912665	0.7102789	0.0484766
placenta	0.6374864	0.6701031	0.03261673	0.2907902	0.6400484	0.05453804
prostate	0.7011209	0.7216495	0.02052856	0.371417	0.7071408	0.0442201
rectum	0.6551929	0.6597938	0.004600877	0.4346186	0.6515853	0.04986135
retina	0.6416526	0.6391753	-0.002477356	0.4626853	0.635345	0.0408901
salivarygland	0.703452	0.7319588	0.02850672	0.2598832	0.7031001	0.04483201
seminalvesicle	0.6477532	0.6597938	0.01204062	0.3680677	0.6421567	0.05233936
skeletalmuscle	0.6334193	0.6391753	0.005755954	0.5372322	0.6431959	0.04301826
skin	0.6976986	0.6907216	-0.006976992	0.5190673	0.6929928	0.04750188
smallintestine	0.7127765	0.6907216	-0.02205486	0.6957368	0.7161656	0.04967789
smoothmuscle	0.6420494	0.6804124	0.03836297	0.2187153	0.6470425	0.04297258
spinalcord	0.6910101	0.7113402	0.02033014	0.3396805	0.6916915	0.0475369
spleen	0.681728	0.6907216	0.008993646	0.4564496	0.6851546	0.05089498
stomach	0.7116358	0.7525773	0.04094157	0.18822	0.7107879	0.0472477
testis	0.7575637	0.8041237	0.04655998	0.1414956	0.7606175	0.04052276
thymus	0.642843	0.5979381	-0.04490483	0.802933	0.6426162	0.0524302
thyroidgland	0.6758258	0.6701031	-0.005722718	0.4956594	0.6696023	0.04603131
tongue	0.5993453	0.6494845	0.05013923	0.1583803	0.6033633	0.04606888
tonsil	0.6457197	0.6082474	-0.03747225	0.766153	0.6409492	0.04502913
urinarybladder	0.6942764	0.7010309	0.006754566	0.413312	0.6900799	0.04999681
vagina	0.6939167	0.6907216	-0.003195095	0.5498476	0.6963826	0.04518748
