GENE	QUES	P	CARRIER_1	CARRIER_0	NONCARRIER_1	NONCARRIER_0
KRTAP3-2	q01_phrases	1	8	0	3727	115
KRTAP3-2	q02_conversation	0.2368816	7	1	3579	117
KRTAP3-2	q03_odd_phrase	0.1224388	3	5	566	3128
KRTAP3-2	q04_inappropriate_question	1	1	7	555	3144
KRTAP3-2	q05_pronouns_mixed	0.4162919	3	5	861	2835
KRTAP3-2	q06_invented_words	0.6131934	2	6	609	3086
KRTAP3-2	q07_same_over	0.151924	2	6	336	3358
KRTAP3-2	q08_particular_way	0.6206897	2	6	540	3294
KRTAP3-2	q09_expressions_appropriate	0.2213893	8	0	2947	889
KRTAP3-2	q10_hand_tool	0.103948	3	5	563	3272
KRTAP3-2	q11_interest_preoccupy	1	0	8	231	3603
KRTAP3-2	q12_parts_object	0.6606697	0	8	252	3588
KRTAP3-2	q13_interests_intensity	1	1	7	520	3316
KRTAP3-2	q14_senses	1	1	7	310	3523
KRTAP3-2	q15_odd_ways	1	0	8	232	3605
KRTAP3-2	q16_complicated_movements	1	1	7	343	3492
KRTAP3-2	q17_injured_deliberately	1	1	7	295	3538
KRTAP3-2	q18_objects_carry	0.6181909	0	8	372	3462
KRTAP3-2	q19_best_friend	0.07296352	4	4	3037	807
KRTAP3-2	q20_talk_friendly	0.6716642	8	0	3573	255
KRTAP3-2	q21_copy_you	1	7	1	3281	553
KRTAP3-2	q22_point_things	1	7	1	3429	397
KRTAP3-2	q23_gestures_wanted	0.3878061	5	3	2911	920
KRTAP3-2	q24_nod_head	1	7	1	3570	258
KRTAP3-2	q25_shake_head	0.3958021	7	1	3600	232
KRTAP3-2	q26_look_directly	1	8	0	3651	172
KRTAP3-2	q27_smile_back	0.2063968	7	1	3725	101
KRTAP3-2	q28_things_interested	1	8	0	3751	73
KRTAP3-2	q29_share	0.3453273	7	1	3622	203
KRTAP3-2	q30_join_enjoyment	1	8	0	3722	88
KRTAP3-2	q31_comfort	1	7	1	3567	252
KRTAP3-2	q32_help_attention	1	8	0	3654	164
KRTAP3-2	q33_range_expressions	1	8	0	3755	63
KRTAP3-2	q34_copy_actions	0.4087956	7	1	3586	238
KRTAP3-2	q35_make_believe	0.3588206	7	1	3620	197
KRTAP3-2	q36_same_age	1	8	0	3612	213
KRTAP3-2	q37_respond_positively	1	8	0	3656	167
KRTAP3-2	q38_pay_attention	0.3778111	7	1	3604	213
KRTAP3-2	q39_imaginative_games	0.02898551	5	3	3481	341
KRTAP3-2	q40_cooperatively_games	1	7	1	3584	245
GUSB	q01_phrases	1	12	0	3723	115
GUSB	q02_conversation	1	12	0	3574	118
GUSB	q03_odd_phrase	0.2458771	0	12	569	3121
GUSB	q04_inappropriate_question	1	2	10	554	3141
GUSB	q05_pronouns_mixed	1	3	9	861	2831
GUSB	q06_invented_words	0.7046477	1	11	610	3081
GUSB	q07_same_over	1	1	11	337	3353
GUSB	q08_particular_way	0.2398801	0	12	542	3288
GUSB	q09_expressions_appropriate	0.08945527	12	0	2943	889
GUSB	q10_hand_tool	0.7011494	1	11	565	3266
GUSB	q11_interest_preoccupy	0.6526737	0	12	231	3599
GUSB	q12_parts_object	1	1	11	251	3585
GUSB	q13_interests_intensity	0.3728136	3	9	518	3314
GUSB	q14_senses	0.2483758	2	10	309	3520
GUSB	q15_odd_ways	1	1	11	231	3602
GUSB	q16_complicated_movements	1	1	11	343	3488
GUSB	q17_injured_deliberately	1	1	11	295	3534
GUSB	q18_objects_carry	1	1	11	371	3459
GUSB	q19_best_friend	0.3528236	11	1	3030	810
GUSB	q20_talk_friendly	1	11	1	3570	254
GUSB	q21_copy_you	0.7041479	11	1	3277	553
GUSB	q22_point_things	1	11	1	3425	397
GUSB	q23_gestures_wanted	0.3183408	11	1	2905	922
GUSB	q24_nod_head	0.6186907	12	0	3565	259
GUSB	q25_shake_head	0.6196902	12	0	3595	233
GUSB	q26_look_directly	1	11	1	3648	171
GUSB	q27_smile_back	1	12	0	3720	102
GUSB	q28_things_interested	1	12	0	3747	73
GUSB	q29_share	1	11	1	3618	203
GUSB	q30_join_enjoyment	0.2513743	11	1	3719	87
GUSB	q31_comfort	0.6206897	12	0	3562	253
GUSB	q32_help_attention	0.6811594	12	0	3650	164
GUSB	q33_range_expressions	1	12	0	3751	63
GUSB	q34_copy_actions	1	11	1	3582	238
GUSB	q35_make_believe	1	11	1	3616	197
GUSB	q36_same_age	0.6681659	12	0	3608	213
GUSB	q37_respond_positively	1	11	1	3653	166
GUSB	q38_pay_attention	0.6441779	12	0	3599	214
GUSB	q39_imaginative_games	0.6111944	10	2	3476	342
GUSB	q40_cooperatively_games	1	11	1	3580	245
RFPL4AL1	q01_phrases	1	12	0	3723	115
RFPL4AL1	q02_conversation	1	12	0	3574	118
RFPL4AL1	q03_odd_phrase	0.7006497	1	11	568	3122
RFPL4AL1	q04_inappropriate_question	0.2308846	0	12	556	3139
RFPL4AL1	q05_pronouns_mixed	0.1789105	5	7	859	2833
RFPL4AL1	q06_invented_words	0.7031484	1	11	610	3081
RFPL4AL1	q07_same_over	1	1	11	337	3353
RFPL4AL1	q08_particular_way	0.7146427	1	10	541	3290
RFPL4AL1	q09_expressions_appropriate	0.7481259	10	2	2945	887
RFPL4AL1	q10_hand_tool	0.2483758	0	12	566	3265
RFPL4AL1	q11_interest_preoccupy	0.6426787	0	12	231	3599
RFPL4AL1	q12_parts_object	1	1	11	251	3585
RFPL4AL1	q13_interests_intensity	1	2	10	519	3313
RFPL4AL1	q14_senses	0.6261869	0	12	311	3518
RFPL4AL1	q15_odd_ways	1	1	11	231	3602
RFPL4AL1	q16_complicated_movements	0.3968016	0	12	344	3487
RFPL4AL1	q17_injured_deliberately	1	1	11	295	3534
RFPL4AL1	q18_objects_carry	1	1	11	371	3459
RFPL4AL1	q19_best_friend	0.08145927	12	0	3029	811
RFPL4AL1	q20_talk_friendly	0.6591704	12	0	3569	255
RFPL4AL1	q21_copy_you	0.4147926	9	3	3279	551
RFPL4AL1	q22_point_things	1	11	1	3425	397
RFPL4AL1	q23_gestures_wanted	1	9	3	2907	920
RFPL4AL1	q24_nod_head	0.6251874	12	0	3565	259
RFPL4AL1	q25_shake_head	0.6191904	12	0	3595	233
RFPL4AL1	q26_look_directly	0.6766617	12	0	3647	172
RFPL4AL1	q27_smile_back	1	12	0	3720	102
RFPL4AL1	q28_things_interested	1	12	0	3747	73
RFPL4AL1	q29_share	0.6531734	12	0	3617	204
RFPL4AL1	q30_join_enjoyment	1	12	0	3718	88
RFPL4AL1	q31_comfort	0.1754123	10	2	3564	251
RFPL4AL1	q32_help_attention	0.6746627	12	0	3650	164
RFPL4AL1	q33_range_expressions	1	12	0	3751	63
RFPL4AL1	q34_copy_actions	0.163918	10	2	3583	237
RFPL4AL1	q35_make_believe	1	11	1	3616	197
RFPL4AL1	q36_same_age	0.6411794	12	0	3608	213
RFPL4AL1	q37_respond_positively	0.6636682	12	0	3652	167
RFPL4AL1	q38_pay_attention	1	11	1	3600	213
RFPL4AL1	q39_imaginative_games	1	11	1	3475	343
RFPL4AL1	q40_cooperatively_games	1	11	1	3580	245
PEX14	q01_phrases	0.1354323	20	2	3715	113
PEX14	q02_conversation	0.6451774	20	0	3566	118
PEX14	q03_odd_phrase	0.7651174	4	16	565	3117
PEX14	q04_inappropriate_question	0.7556222	2	18	554	3133
PEX14	q05_pronouns_mixed	0.8015992	4	16	860	2824
PEX14	q06_invented_words	0.2413793	1	19	610	3073
PEX14	q07_same_over	1	2	18	336	3346
PEX14	q08_particular_way	0.3523238	1	20	541	3280
PEX14	q09_expressions_appropriate	0.8085957	16	6	2939	883
PEX14	q10_hand_tool	0.7516242	4	18	562	3259
PEX14	q11_interest_preoccupy	1	1	21	230	3590
PEX14	q12_parts_object	1	1	21	251	3575
PEX14	q13_interests_intensity	1	3	19	518	3304
PEX14	q14_senses	1	2	20	309	3510
PEX14	q15_odd_ways	1	1	21	231	3592
PEX14	q16_complicated_movements	0.7121439	1	21	343	3478
PEX14	q17_injured_deliberately	0.7226387	1	21	295	3524
PEX14	q18_objects_carry	0.5197401	1	21	371	3449
PEX14	q19_best_friend	0.5937031	16	6	3025	805
PEX14	q20_talk_friendly	1	21	1	3560	254
PEX14	q21_copy_you	0.2438781	21	1	3267	553
PEX14	q22_point_things	1	20	2	3416	396
PEX14	q23_gestures_wanted	0.6331834	18	4	2898	919
PEX14	q24_nod_head	0.3988006	22	0	3555	259
